transaction_id,user_id,payment_method_id,rating_id,status,type,shipping_address,explored_bandit_type
1,1434,2,3,purchased,post-payment,"1233 Connie Rue Apt. 725
North Amandaton, IL 29389",bandit B
2,528,1,1,purchased,pre-payment,"6884 Molly Prairie
New Frankbury, IN 80785",bandit B
3,281,3,5,canceled,post-payment,"59448 Maria Spring Suite 928
East Ellenfurt, SD 16515",bandit C
4,1996,4,4,purchased,post-payment,"2695 Jeffrey Plain Apt. 844
New Sherichester, KY 27932",bandit C
5,743,4,4,purchased,pre-payment,"813 Adam Oval Apt. 631
Port Joelfort, CO 23615",bandit A
6,1119,3,1,purchased,pre-payment,"9999 Joshua Corner
West Anthonymouth, FM 45928",bandit A
7,570,2,5,purchased,pre-payment,"979 Sharon Union
Port Susan, AS 18680",bandit A
8,1707,2,2,purchased,pre-payment,"483 Susan Alley
Raymondland, LA 12194",bandit A
9,1310,2,5,purchased,post-payment,"USCGC Whitehead
FPO AP 74005",bandit C
10,1415,4,2,purchased,post-payment,"6350 Thomas Bypass
East Luis, OR 19542",bandit C
11,1241,3,1,purchased,post-payment,"061 Miller Gardens Suite 353
Bryanborough, CO 30101",bandit C
12,672,2,4,canceled,pre-payment,"47679 Steven Falls
Triciaview, MP 66869",bandit A
13,1217,3,5,purchased,pre-payment,"07323 Sullivan Unions Apt. 729
Welchburgh, KS 86346",bandit B
14,433,2,2,purchased,pre-payment,"0020 Hannah Pass Suite 004
Lake Trevorside, NE 52632",bandit B
15,1610,4,1,purchased,pre-payment,"292 Sheila Views
Jessicabury, ME 27150",bandit A
16,1225,2,3,returned,pre-payment,"0695 Ryan Drive
Wheelerland, DC 87681",bandit A
17,1362,3,1,purchased,post-payment,"637 Stephanie Avenue
West Jaclyntown, WI 92181",bandit B
18,510,3,4,purchased,pre-payment,"USNV Hall
FPO AE 85665",bandit B
19,1466,1,1,canceled,pre-payment,"23165 Jones Route
West Annaside, VA 91352",bandit B
20,895,1,1,purchased,post-payment,"22512 Jeffrey Center Suite 801
West Williamhaven, AL 96334",bandit B
21,1954,4,3,purchased,pre-payment,"USNV Jones
FPO AP 51699",bandit A
22,702,1,4,canceled,post-payment,"Unit 9896 Box 1055
DPO AA 34923",bandit C
23,327,1,3,returned,post-payment,"524 Robin Crossroad Suite 009
East Randall, GA 13852",bandit B
24,566,3,1,purchased,post-payment,"631 Smith Oval
Julieton, DC 63958",bandit B
25,1279,3,3,purchased,pre-payment,"667 Morris Extension
Graceland, ME 84588",bandit A
26,258,3,3,canceled,post-payment,"900 Patricia Trafficway Suite 664
Marvinburgh, AS 92221",bandit C
27,599,3,1,returned,post-payment,"07977 Douglas Skyway
Lake Jacqueline, VT 07649",bandit B
28,370,2,5,purchased,pre-payment,"98487 Caitlyn Ports
Gabrielafurt, IA 69613",bandit A
29,1165,1,1,canceled,post-payment,"Unit 8334 Box 9905
DPO AP 56454",bandit B
30,1813,1,3,returned,pre-payment,"303 Brown Dale
New Amandatown, LA 44082",bandit B
31,1445,1,2,purchased,pre-payment,"7735 Newton Passage Suite 979
East Jonathan, ID 63139",bandit B
32,863,4,3,returned,pre-payment,"3359 Laura Spurs Apt. 599
Ronaldfurt, MD 29385",bandit B
33,1681,1,5,purchased,pre-payment,"3012 Shannon Flat
Sarahview, ID 39538",bandit A
34,1750,4,5,purchased,pre-payment,"33938 King Cliffs Suite 095
Loriview, NH 15124",bandit B
35,1117,1,1,purchased,post-payment,"667 Miller Ramp
Humphreyborough, GA 53553",bandit B
36,604,2,4,returned,pre-payment,"995 Lindsay Station Apt. 461
Turnermouth, LA 07481",bandit B
37,823,2,3,purchased,pre-payment,"58929 Andrea Mountain Apt. 408
New Stephanie, CO 13247",bandit A
38,789,3,5,purchased,post-payment,"PSC 5450, Box 2949
APO AP 99762",bandit B
39,1318,1,2,purchased,post-payment,"1401 Castro Plaza
New Anthonymouth, OR 67831",bandit C
40,413,2,1,purchased,post-payment,"72154 Howard Squares Apt. 282
Matthewshire, OK 51884",bandit C
41,1262,3,2,purchased,pre-payment,"517 Pamela Summit
South Jamesside, MI 42205",bandit A
42,782,1,3,purchased,pre-payment,"579 Jennifer Port Apt. 806
Garrettfort, DC 28105",bandit B
43,46,1,1,purchased,post-payment,"PSC 2850, Box 7418
APO AE 35669",bandit C
44,68,2,1,purchased,post-payment,"60057 Garza Light Apt. 472
New Kristi, CA 33330",bandit C
45,822,1,1,purchased,post-payment,"541 Schmidt Meadows
Wagnerborough, SC 98022",bandit B
46,1829,2,4,purchased,post-payment,"7377 Natalie Mission
Lake Theresashire, MA 20238",bandit C
47,746,2,2,purchased,post-payment,"669 Megan Radial
Kristiport, MI 26150",bandit B
48,765,1,2,purchased,pre-payment,"82089 Bradley Key
Allisonview, AZ 62389",bandit A
49,351,1,5,purchased,pre-payment,"7525 King Forks Suite 010
Swansonton, IA 08552",bandit A
50,673,1,4,purchased,pre-payment,"99977 Carrillo Street Apt. 427
Stevenfurt, IL 17849",bandit A
51,1281,4,5,purchased,post-payment,"91547 Erin Port
Ernestbury, ID 34560",bandit C
52,1870,1,1,canceled,pre-payment,"637 Steven Roads
Huntbury, PW 75238",bandit A
53,700,1,2,purchased,post-payment,"1764 Guzman Land
Andreaborough, CA 32442",bandit B
54,1798,1,2,purchased,post-payment,"6987 Mann Pine
Timothyfurt, SC 68263",bandit B
55,476,2,1,purchased,pre-payment,"05000 David Well Apt. 017
Sandersfort, NM 93042",bandit B
56,1284,4,3,canceled,pre-payment,"6922 Diana Loop Suite 069
East Jorgemouth, VA 46330",bandit A
57,793,2,1,purchased,post-payment,"6628 Christina Underpass
North Scottshire, FL 63064",bandit C
58,401,3,1,purchased,pre-payment,"71965 Scott Union Apt. 733
East Danielton, KY 84574",bandit A
59,664,2,1,purchased,pre-payment,"USS Jacobson
FPO AE 53668",bandit A
