user_id,password,first_name,last_name,phone_number,email,db_view
1,YmEyE}NDUhu>,Edward,Parker,360.793.1180x2568,ganderson@example.com,denied
2,"Yb4,ieOg4""K5",Emily,Simon,(357)401-8870x88110,kthomas@example.net,denied
3,nq3_Yl_S\'3x,Alexis,Lee,+1-679-519-6331,jennifer50@example.net,denied
4,"nVt-NEI)t]""f",David,Solis,(497)945-5266x932,wilsonchristopher@example.net,denied
5,">&=7wp,X,k6U",Gabriella,Harris,001-752-659-0299x9303,darrell41@example.net,denied
6,mc&Y2x\?Sj*4,Joseph,Wilson,(516)736-3870x3944,danielle03@example.org,denied
7,BUJ3/W\Td]7U,Mark,Wright,001-782-304-9090x482,melissa80@example.org,denied
8,.foYMmqZAJNU,Joshua,Thompson,592.627.2928,brownsusan@example.com,denied
9,"-5c9+C,#{Om:",Jason,Mason,775-366-4633,smithshaun@example.org,denied
10,HJ)eSo[7o&D3,Lori,Davis,276.319.0130,joannamaldonado@example.com,denied
11,~!T$cw]w&EN1,Raymond,Fox,+1-326-467-3717x32813,joshuaberg@example.org,denied
12,%9k&_X`lXT;M,Crystal,Dominguez,(645)485-8622x173,rachelberry@example.net,denied
13,VxXOqkC<(6M_,Kelly,Lowe,001-750-218-6578x25904,moodynicole@example.com,denied
14,M[J%TpY@erE>,Karen,Wilson,(632)888-8884x391,nataliemccall@example.org,denied
15,"=1#|#fDp52,o",Douglas,Stephens,+1-973-649-2608x24077,aburns@example.org,denied
16,KsM+>pB}!T-e,William,Allen,+1-288-951-0294x290,lopezerin@example.com,denied
17,k.25}sc#>Um',Lisa,Washington,001-776-573-3328x710,vanessaweber@example.org,denied
18,;r`^h#XqW;]-,James,Christian,9385042080,randallrobert@example.com,denied
19,^vXujA@fhCw^,Earl,Simpson,001-829-530-8881x6861,amandaferguson@example.org,denied
20,]=(F_[n/0Qlp,Christine,Fisher,001-927-731-5793x26302,tonyastone@example.org,denied
21,eh$mx?{hN9|u,Robert,Williams,652.858.8655x46124,efoster@example.com,denied
22,Ppwsd;8>ME2D,Vanessa,Wright,001-374-834-9917x8439,ashley47@example.net,denied
23,FR>8)+/z^FTg,Brian,Caldwell,(476)245-8876x68708,perezchristopher@example.org,denied
24,"!P[c8t7q+""*V",Jennifer,Parks,(615)922-4744x59903,karen05@example.com,denied
25,"MS50$#>c&F,<",Kevin,Griffin,(935)563-0206,maurice39@example.com,denied
26,"m8O"".5-(&J28",Gary,Clark,7262437661,cherylfranco@example.com,denied
