transaction_id,user_id,payment_method_id,rating_id,status,type,shipping_address,explored_bandit_type
1,14,4,3,purchased,pre-payment,"PSC 2454, Box 7855
APO AA 25509",bandit B
2,1109,3,2,purchased,pre-payment,"869 Hester Forks Apt. 979
Hillshire, AL 58598",bandit A
3,1865,4,5,purchased,pre-payment,"327 Dominguez Station Apt. 410
South Kim, ND 07610",bandit B
4,771,4,1,purchased,pre-payment,"3014 Richardson Lock
Amberburgh, DE 31407",bandit A
5,102,2,1,returned,pre-payment,"776 Ryan Park
Mccannfurt, NE 60518",bandit B
6,229,4,2,purchased,pre-payment,"442 Alicia Forge
New Heatherton, WV 95175",bandit B
7,859,3,3,purchased,post-payment,"533 Brown Spur
Santosstad, MO 33163",bandit B
8,699,1,4,purchased,post-payment,"162 Tamara Branch Apt. 297
Kristineport, TX 48827",bandit B
9,1809,2,5,purchased,pre-payment,"PSC 9903, Box 3644
APO AP 36302",bandit B
10,95,1,4,purchased,post-payment,"PSC 7934, Box 8015
APO AA 67344",bandit B
11,1696,3,2,purchased,pre-payment,"546 Mason Prairie
Port James, RI 31989",bandit B
12,344,3,5,purchased,post-payment,"5437 Sherry Valley Apt. 586
Jaredburgh, WV 88208",bandit B
13,179,1,2,purchased,post-payment,"77391 Kyle Forest Apt. 619
Hooverstad, NY 20889",bandit B
14,1250,4,4,purchased,post-payment,"6620 Navarro Walks Suite 588
New Mary, SD 75646",bandit B
15,303,1,1,purchased,post-payment,"84542 Watkins Green
Port Angelamouth, KY 40529",bandit B
16,1843,3,3,purchased,pre-payment,"619 Guzman Junction
North Roberto, VA 90794",bandit A
17,656,1,5,purchased,pre-payment,"USNS Galloway
FPO AA 39002",bandit B
18,428,4,1,purchased,pre-payment,"9241 Harris Fort
Youngville, MI 39443",bandit A
19,988,1,1,purchased,pre-payment,"682 Stone Meadow
West Maryton, AZ 26963",bandit A
20,1090,1,5,returned,pre-payment,"623 Patel Wells
Michelechester, OR 95588",bandit B
21,1811,4,1,purchased,post-payment,"PSC 4353, Box 1569
APO AA 75992",bandit B
22,1505,4,1,purchased,pre-payment,"71078 Guerra Gateway Apt. 756
Amystad, NV 26412",bandit A
23,972,3,1,purchased,post-payment,"84182 Gary Manor
Port Vicki, MA 87582",bandit B
24,1083,1,1,purchased,post-payment,"510 Mason Neck
Shannonfurt, NV 70974",bandit B
25,1743,1,2,purchased,pre-payment,"PSC 7498, Box 6255
APO AE 30375",bandit A
26,1040,1,3,purchased,pre-payment,"07681 Torres Mall
North Staceyview, ND 18393",bandit A
27,1087,4,1,purchased,pre-payment,"768 Daniel Unions
East Matthewchester, GA 14885",bandit A
28,1392,1,2,purchased,post-payment,"94489 Williams Fall Suite 241
North Mark, IN 57172",bandit B
29,264,3,4,purchased,pre-payment,"7588 Davis Center Suite 116
Wyattchester, MH 27319",bandit A
